title,artist,year,duration,group
all i want is you / everlasting love,u2,1988,203,band
"baby, i don't care",transvision vamp,1988,222,pop
batdance,prince,1988,247,band
bedroom eyes,kate ceberano,1988,237,pop
chained to the wheel,the black sorrows,1988,236,band
cherish,madonna,1988,230,pop
dressed for success,roxette,1988,250,pop
especially for you,kylie minogue and jason donovan,1988,213,pop
eternal flame,the bangles,1988,236,pop
express yourself,madonna,1988,279,pop
funky cold medina,tone loc,1988,259,urban
hand on your heart,kylie minogue,1988,234,pop
handle with care,the traveling wilburys,1988,197,band
i don't want a lover,texas,1988,262,pop
i'll be loving you (forever),new kids on the block,1988,262,pop
i'm gonna be (500 miles),the proclaimers,1988,219,pop
i'm on my way,the proclaimers,1988,226,pop
if i could,1927,1988,222,pop
if i could turn back time,cher,1988,239,pop
if you don't know me by now,simply red,1988,221,urban
iko iko,the belle stars,1988,179,pop
kiss,art of noise featuring tom jones,1988,210,electronic
kokomo,the beach boys,1988,216,pop
like a prayer,madonna,1988,291,pop
lost in your eyes,debbie gibson,1988,213,pop
now you're in heaven,julian lennon,1988,219,band
one summer,daryl braithwaite,1988,210,pop
orinoco flow,enya,1988,226,pop
poison,alice cooper,1988,271,band
right back where we started from,sinitta,1988,194,pop
right here waiting,richard marx,1988,290,pop
ring my bell,collette,1988,214,pop
rock and roll music,mental as anything,1988,182,band
she drives me crazy,fine young cannibals,1988,215,pop
she has to be loved,jenny morris,1988,247,pop
stop!,sam brown,1988,256,pop
stuck on you,paul norton,1988,241,band
swing the mood,jive bunny and the mastermixers,1988,370,pop
talk it over,grayson hugh,1988,239,urban
teardrops,womack & womack,1988,127,urban
the best,tina turner,1988,249,band
the living years,mike & the mechanics,1988,324,band
the look,roxette,1988,234,pop
toy soldiers,martika,1988,292,pop
tucker's daughter,ian moss,1988,278,band
we didn't start the fire,billy joel,1988,269,band
wild thing,tone loc,1988,261,urban
wind beneath my wings,bette midler,1988,294,pop
you got it,roy orbison,1988,210,band
you got it (the right stuff),new kids on the block,1988,250,pop
all i want is you/ everlasting love,u2,1989,203,band
"baby, i don't care",transvision vamp,1989,222,pop
batdance,prince,1989,247,band
bedroom eyes,kate ceberano,1989,237,pop
chained to the wheel,the black sorrows,1989,236,band
cherish,madonna,1989,230,pop
dressed for success,roxette,1989,250,pop
especially for you,kylie minogue and jason donovan,1989,213,pop
eternal flame,the bangles,1989,236,pop
express yourself,madonna,1989,279,pop
funky cold medina,tone loc,1989,259,urban
hand on your heart,kylie minogue,1989,234,pop
handle with care,the traveling wilburys,1989,197,band
i don't want a lover,texas,1989,262,pop
i'll be loving you (forever),new kids on the block,1989,262,pop
i'm gonna be (500 miles),the proclaimers,1989,219,pop
i'm on my way,the proclaimers,1989,226,pop
if i could,1927,1989,222,pop
if i could turn back time,cher,1989,239,pop
if you don't know me by now,simply red,1989,221,urban
iko iko,the belle stars,1989,179,pop
kiss,art of noise featuring tom jones,1989,210,electronic
kokomo,the beach boys,1989,216,pop
like a prayer,madonna,1989,291,pop
lost in your eyes,debbie gibson,1989,213,pop
now you're in heaven,julian lennon,1989,219,band
one summer,daryl braithwaite,1989,210,pop
orinoco flow,enya,1989,226,pop
poison,alice cooper,1989,271,band
right back where we started from,sinitta,1989,194,pop
right here waiting,richard marx,1989,290,pop
ring my bell,collette,1989,214,pop
rock and roll music,mental as anything,1989,182,band
she drives me crazy,fine young cannibals,1989,215,pop
she has to be loved,jenny morris,1989,247,pop
stop!,sam brown,1989,256,pop
stuck on you,paul norton,1989,241,band
swing the mood,jive bunny and the mastermixers,1989,370,pop
talk it over,grayson hugh,1989,239,urban
teardrops,womack & womack,1989,127,urban
the best,tina turner,1989,249,band
the living years,mike & the mechanics,1989,324,band
the look,roxette,1989,234,pop
toy soldiers,martika,1989,292,pop
tucker's daughter,ian moss,1989,278,band
we didn't start the fire,billy joel,1989,269,band
wild thing,tone loc,1989,261,urban
wind beneath my wings,bette midler,1989,294,pop
you got it,roy orbison,1989,210,band
you got it (the right stuff),new kids on the block,1989,250,pop
all i wanna do is make love to you,heart,1990,273,band
black velvet,alannah myles,1990,287,band
blame it on the rain,milli vanilli,1990,248,pop
blaze of glory,jon bon jovi,1990,347,band
blue sky mine,midnight oil,1990,256,band
bust a move,young mc,1990,264,urban
chain reaction,john farnham,1990,192,pop
close to you,maxi priest,1990,329,band
cradle of love,billy idol,1990,245,band
crying in the chapel,peter blakeley,1990,218,urban
dangerous,roxette,1990,247,pop
don't know much,linda ronstadt featuring aaron neville,1990,215,pop
epic,faith no more,1990,237,band
girl i'm gonna miss you,milli vanilli,1990,264,pop
groove is in the heart,deee-lite,1990,213,electronic
hanky panky,madonna,1990,239,pop
hold on,wilson phillips,1990,256,pop
how am i supposed to live without you,michael bolton,1990,299,pop
how can we be lovers,michael bolton,1990,236,pop
i don't know anybody else,black box,1990,409,electronic
i don't want to be with nobody but you,absent friends,1990,287,band
i need your body,tina arena,1990,240,pop
i want that man,deborah harry,1990,242,band
ice ice baby,vanilla ice,1990,241,urban
infinity (1990's time for the guru),guru josh,1990,451,electronic
it must have been love,roxette,1990,262,pop
janie's got a gun,aerosmith,1990,323,band
joey,concrete blonde,1990,259,band
jukebox in siberia,skyhooks,1990,231,band
lambada,kaoma,1990,205,pop
lay down your guns,jimmy barnes,1990,238,band
love shack,the b-52's,1990,235,band
love will lead you back,taylor dayne,1990,273,pop
mona,craig mclachlan & check 1-2,1990,218,other
nothing compares 2 u,sinead o'connor,1990,240,pop
opposites attract,paula abdul,1990,167,pop
pump up the jam,technotronic featuring felly,1990,251,electronic
ride on time,black box,1990,181,electronic
sacrifice,elton john,1990,304,pop
show no mercy,mark williams,1990,262,electronic
spin that wheel,hi tek 3,1990,221,urban
step by step,new kids on the block,1990,326,pop
suicide blonde,inxs,1990,231,band
summer rain,belinda carlisle,1990,201,pop
thunderstruck,ac/dc,1990,264,band
u can't touch this,m.c. hammer,1990,278,urban
unchained melody,righteous brothers,1990,215,pop
unskinny bop,poison,1990,297,band
vogue / keep it together,madonna,1990,345,pop
when i see you smile,bad english,1990,257,band
(everything i do) i do it for you,bryan adams,1991,250,band
3am eternal,the klf,1991,205,electronic
baby baby,amy grant,1991,237,pop
