title,artist,year,duration,genre,group
swing,joel fletcher feat. savage,2014,180,house,electronic
feel this moment,pitbull,2013,229,hip hop,urban
get lucky,daft punk feat. pharrell williams,2013,248,house,electronic
bangarang,skrillex,2012,215,dubstep,electronic
song 2,blur,1997,120,british pop,band
nightmare,brainbug,1997,183,house,electronic
das kleine krokadil (crocodile song),schnappi,2005,122,folk,band
gold digger,kanye west,2005,208,hip hop,urban
united states of whatever,liam lynch,2003,87,comedy,other
summer rain,slinkee minx,2004,134,dance,electronic
just a song about ping pong,operator please,2007,138,pop,pop
i like that,richard vission & static revenger feat. luciana,2010,141,club,electronic
the creeps,camille jones vs. fedde le grand,2007,146,electro,electronic
addicted to you,avicii,2014,148,house,electronic
touch it,monifah,1999,148,r&b,urban
i wish i was a punk rocker (with flowers in my hair),sandi thom,2006,150,pop,pop
jizz in my pants,the lonely island,2009,151,comedy,other
can't get enough of you baby,smash mouth,1998,151,rock,band
holdin on,flume,2013,153,electronic,electronic
l.o.v.e.,ashlee simpson,2006,153,pop,pop
who do you love now?,riva featuring dannii minogue,2002,153,pop,pop
lady (hear me tonight),modjo,2000,154,house,electronic
i love it,icona pop,2013,155,pop,pop
i love it,icona pop,2012,155,pop,pop
one step closer,linkin park,2001,155,rock,band
one way or another (teenage kicks),one direction,2013,157,pop,pop
get up (rattle),bingo players feat. far east movement,2013,158,house,electronic
thank god i'm a country boy,hampton the hampster,2001,160,dance,electronic
teenagers,my chemical romance,2007,161,emo,band
sukiyaki,4pm,1995,161,r&b,urban
ho hey,the lumineers,2013,163,rock,band
be faithful,fatman scoop,2004,163,hip hop,urban
i just wanna live,good charlotte,2005,165,rock,band
i'm an albatraoz,aronchupa,2014,167,electronic,electronic
i just had sex,the lonely island feat. akon,2011,167,comedy,other
take me to the clouds above,lmc vs u2,2004,167,dance,electronic
barenaked,jennifer love hewitt,2002,167,pop,pop
mambo italiano,shaft,2000,167,electronic,electronic
you've got the love,florence + the machine,2010,168,indie rock,band
all the small things,blink 182,2000,168,punk,band
father & son,boyzone,1996,168,pop,pop
blue,leann rimes,1996,168,country,band
boom clap,charli xcx,2014,169,pop,pop
elevator,flo rida feat. timbaland,2008,169,rap,urban
why don't you get a job?,the offspring,1999,169,punk,band
bad,david guetta & showtek feat. vassy,2014,170,house,electronic
boyfriend,justin bieber,2012,170,pop,pop
wind it up,gwen stefani,2007,170,pop,pop
wind it up,gwen stefani,2006,170,pop,pop
axel f,crazy frog,2005,170,pop,pop
hey bitty,nitty,2005,170,hip hop,urban
jenny from the block,jennifer lopez,2003,170,pop,pop
somethin' stupid,robbie williams & nicole kidman,2002,170,pop,pop
one week,barenaked ladies,1998,170,rock,band
the shoop shoop song (it's in his kiss),cher,1991,170,pop,pop
can't touch it,ricki-lee,2007,171,pop,pop
wannabe,spice girls,1997,171,pop,pop
wannabe,spice girls,1996,171,pop,pop
somebody's crying,chris isaak,1995,171,rock,band
iko iko,the belle stars,1989,171,pop,pop
iko iko,the belle stars,1988,171,pop,pop
burn,jessica mauboy,2009,172,pop,pop
c'est la vie,b*witched,1998,172,pop,pop
i like to move it,reel to real,1994,172,eurodance,electronic
i'm too sexy,right said fred,1991,172,pop,pop
stay with me,sam smith,2014,173,pop,pop
i need a doctor,dr. dre feat. eminem & skylar grey,2011,173,hip hop,urban
2 hearts,kylie minogue,2007,173,pop,pop
sex and candy,marcy playground,1998,173,rock,band
spice up your life,spice girls,1997,173,pop,pop
waves,mr. probz,2014,174,hip hop,urban
call on me,eric prydz,2004,174,house,electronic
american idiot,green day,2004,174,punk,band
freaks,timmy trumpet feat. savage,2014,175,house,electronic
classic,mkto,2013,175,pop,pop
treasure,bruno mars,2013,175,pop,pop
throw your hands up,qwote feat. pitbull,2012,175,r&b,urban
"eh, eh (nothing else i can say)",lady gaga,2009,175,pop,pop
we are the champions (ding a dang dong),crazy frog,2006,175,pop,pop
the anthem,good charlotte,2003,175,rock,band
what would you do?,city high,2002,176,r&b,urban
what would you do?,city high,2001,176,r&b,urban
talk dirty,jason derulo feat. 2 chainz,2013,177,pop,pop
everybody talks,neon trees,2013,177,alternative rock,band
get shaky,the ian carey project,2009,177,house,electronic
get shaky,the ian carey project,2008,177,house,electronic
hook me up,the veronicas,2007,177,pop,pop
it's like that,run dmc vs jason nevins,1998,177,hip hop,urban
when i come around,green day,1995,177,punk,band
this love,the veronicas,2008,178,pop,pop
crazy,gnarls barkley,2006,178,soul,urban
if ya gettin' down,five,1999,178,pop,pop
she's a genius,jet,2009,179,rock,band
i kissed a girl,katy perry,2008,179,pop,pop
destination calabria,alex gaudino feat. crystal waters,2007,179,house,electronic
horny,mousse t featuring hot 'n' juicy,1998,179,house,electronic
ring my bell,collette,1989,179,disco,pop
ring my bell,collette,1988,179,disco,pop
lips are movin,meghan trainor,2014,180,doo-wop,band
somebody to you,the vamps feat. demi lovato,2014,180,pop,pop
your love is my drug,ke$ha,2010,180,pop,pop
