year,Independent,Major,Public broadcaster,Unknown
1988,0,100,0,0
1989,0,100,0,0
1990,0,100,0,0
1991,0,100,0,0
1992,0,100,0,0
1993,0,100,0,0
1994,0,100,0,0
1995,8,92,0,0
1996,5.263157895,94.73684211,0,0
1997,1,99,0,0
1998,4.545454545,94.88636364,0,0.568181818
1999,5.235602094,94.2408377,0,0.523560209
2000,5.586592179,94.41340782,0,0
2001,3.529411765,94.70588235,1.176470588,0.588235294
2002,10.52631579,89.47368421,0,0
2003,6.285714286,93.71428571,0,0
2004,6.395348837,91.86046512,0,1.744186047
2005,6.790123457,93.20987654,0,0
2006,2.325581395,97.6744186,0,0
2007,8.379888268,91.62011173,0,0
2008,5.97826087,94.02173913,0,0
2009,5,95,0,0
2010,5.056179775,94.94382022,0,0
2011,6.989247312,93.01075269,0,0
2012,4.232804233,95.76719577,0,0
2013,6.629834254,92.81767956,0,0.552486188
2014,5.454545455,94.54545455,0,0
