key,value,date,category
80s,0,1993,A
80s,0,1994,A
80s,1,1995,A
80s,0,1996,A
80s,0,1997,A
80s,0,1998,A
80s,0,1999,A
80s,0,2000,A
80s,0,2001,A
80s,0,2002,A
80s,0,2003,A
80s,0,2004,A
80s,0,2005,A
80s,0,2006,A
80s,0,2007,A
80s,0,2008,A
80s,0,2009,A
80s,3,2010,A
80s,0,2011,A
90s,0,1993,A
90s,0,1994,A
90s,0,1995,A
90s,1,1996,A
90s,0,1997,A
90s,0,1998,A
90s,0,1999,A
90s,0,2000,A
90s,0,2001,A
90s,0,2002,A
90s,0,2003,A
90s,0,2004,A
90s,0,2005,A
90s,0,2006,A
90s,0,2007,A
90s,0,2008,A
90s,0,2009,A
90s,0,2010,A
90s,0,2011,A
acid house,1,1993,B
acid house,0,1994,B
acid house,0,1995,B
acid house,0,1996,B
acid house,0,1997,B
acid house,0,1998,B
acid house,0,1999,B
acid house,0,2000,B
acid house,0,2001,B
acid house,0,2002,B
acid house,0,2003,B
acid house,0,2004,B
acid house,0,2005,B
acid house,0,2006,B
acid house,0,2007,B
acid house,0,2008,B
acid house,0,2009,B
acid house,0,2010,B
acid house,0,2011,B
acoustic,0,1993,A
acoustic,0,1994,A
acoustic,0,1995,A
acoustic,0,1996,A
acoustic,0,1997,A
acoustic,0,1998,A
acoustic,0,1999,A
acoustic,0,2000,A
acoustic,0,2001,A
acoustic,0,2002,A
acoustic,1,2003,A
acoustic,0,2004,A
acoustic,0,2005,A
acoustic,0,2006,A
acoustic,0,2007,A
acoustic,0,2008,A
acoustic,0,2009,A
acoustic,0,2010,A
acoustic,0,2011,A
adult contemporary,1,1993,A
adult contemporary,0,1994,A
adult contemporary,0,1995,A
adult contemporary,0,1996,A
adult contemporary,0,1997,A
adult contemporary,0,1998,A
adult contemporary,0,1999,A
adult contemporary,0,2000,A
adult contemporary,0,2001,A
adult contemporary,0,2002,A
adult contemporary,0,2003,A
adult contemporary,0,2004,A
adult contemporary,0,2005,A
adult contemporary,0,2006,A
adult contemporary,0,2007,A
adult contemporary,0,2008,A
adult contemporary,0,2009,A
adult contemporary,0,2010,A
adult contemporary,0,2011,A
afrobeat,0,1993,A
afrobeat,0,1994,A
afrobeat,0,1995,A
afrobeat,0,1996,A
afrobeat,0,1997,A
afrobeat,0,1998,A
afrobeat,0,1999,A
afrobeat,0,2000,A
afrobeat,0,2001,A
afrobeat,0,2002,A
afrobeat,0,2003,A
afrobeat,0,2004,A
afrobeat,0,2005,A
afrobeat,0,2006,A
afrobeat,1,2007,A
afrobeat,0,2008,A
afrobeat,0,2009,A
