date,key,value
1988,trance,0
1988,pop,32
1988,rock,20
1988,dance,6
1988,j pop,0
1988,hip hop,2
1988,r&b,3
1988,rap,2
1988,na,0
1988,latin,0
1988,singer-songwriter,0
1988,dubstep,0
1988,soul,4
1988,emo,0
1988,electronic,1
1988,dancehall,0
1988,children music,0
1988,country,1
1988,80s,6
1988,90s,2
1988,eurodance,0
1988,easy listening,0
1988,techno,0
1988,reggae,0
1988,soundtrack,0
1988,folk,0
1988,alternative rock,0
1988,comedy,0
1988,shibuya-kei,1
1988,blues,2
1988,symphony,0
1988,house,0
1988,punk,0
1988,indie rock,0
1988,europop,0
1988,grunge,0
1988,power pop,0
1988,jazz,2
1988,british pop,0
1988,adult contemporary,3
1988,electronica,0
1988,new age,1
1988,00s,0
1988,breakbeat,0
1988,piano rock,0
1988,drum and bass,0
1988,soca,0
1988,dub,0
1988,post-punk,1
1988,eurobeat,0
1988,hard rock,0
1988,hardcore,0
1988,funk,1
1988,grime,0
1988,electro house,0
1988,uk garage,0
1988,ska,0
1988,synthpop,0
1988,electro,0
1988,70s,0
1988,new wave,2
1988,ambient,1
1988,folk rock,0
1988,ballad,0
1988,alternative dance,0
1988,club,0
1988,teen pop,2
1988,progressive trance,0
1988,dance pop,0
1988,jazz fusion,0
1988,alternative,0
1988,rap rock,0
1988,crunk,0
1988,disco,0
1988,pop rock,0
1988,male vocalist,0
1988,hip house,0
1988,heavy metal,1
1988,new jack swing,0
1988,50s,1
1988,electropop,0
1988,bluegrass,0
1988,motown,0
1988,metal,0
1988,country music,1
1988,rockabilly,1
1988,nu metal,0
1988,celtic,1
1988,ambient house,0
1988,alternative metal,0
1988,world music,0
1988,melodic rock,0
1988,latin freestyle,0
1988,reggaeton,0
1988,trip hop,0
1988,classical,0
1988,hardcore punk,0
1988,soft rock,0
1988,pop punk,0
1988,boy band,0
1988,pub rock,0
1988,folktronica,0
1988,gospel,0
1988,southern rock,0
1988,rock 'n roll,0
1988,swing,0
1988,opera,0
1988,disco house,0
1988,rap metal,0
1988,italian dance,0
1988,downtempo,0
1988,roots rock,0
1988,funk rock,0
1989,trance,0
1989,pop,32
1989,rock,20
1989,dance,6
1989,j pop,0
1989,hip hop,2
1989,r&b,3
1989,rap,2
1989,na,0
1989,latin,0
1989,singer-songwriter,0
1989,dubstep,0
1989,soul,4
1989,emo,0
1989,electronic,1
1989,dancehall,0
1989,children music,0
1989,country,1
1989,80s,6
1989,90s,2
1989,eurodance,0
1989,easy listening,0
1989,techno,0
1989,reggae,0
1989,soundtrack,0
1989,folk,0
1989,alternative rock,0
1989,comedy,0
1989,shibuya-kei,1
1989,blues,2
1989,symphony,0
1989,house,0
1989,punk,0
1989,indie rock,0
1989,europop,0
1989,grunge,0
1989,power pop,0
1989,jazz,2
1989,british pop,0
1989,adult contemporary,3
1989,electronica,0
1989,new age,1
1989,00s,0
1989,breakbeat,0
1989,piano rock,0
1989,drum and bass,0
1989,soca,0
1989,dub,0
1989,post-punk,1
1989,eurobeat,0
1989,hard rock,0
1989,hardcore,0
1989,funk,1
1989,grime,0
1989,electro house,0
1989,uk garage,0
1989,ska,0
1989,synthpop,0
1989,electro,0
1989,70s,0
1989,new wave,2
1989,ambient,1
1989,folk rock,0
1989,ballad,0
1989,alternative dance,0
1989,club,0
1989,teen pop,2
1989,progressive trance,0
1989,dance pop,0
1989,jazz fusion,0
1989,alternative,0
1989,rap rock,0
1989,crunk,0
1989,disco,0
1989,pop rock,0
1989,male vocalist,0
1989,hip house,0
1989,heavy metal,1
1989,new jack swing,0
1989,50s,1
1989,electropop,0
1989,bluegrass,0
1989,motown,0
1989,metal,0
1989,country music,1
1989,rockabilly,1
1989,nu metal,0
1989,celtic,1
1989,ambient house,0
1989,alternative metal,0
1989,world music,0
1989,melodic rock,0
1989,latin freestyle,0
1989,reggaeton,0
1989,trip hop,0
1989,classical,0
1989,hardcore punk,0
1989,soft rock,0
1989,pop punk,0
1989,boy band,0
1989,pub rock,0
1989,folktronica,0
1989,gospel,0
1989,southern rock,0
1989,rock 'n roll,0
1989,swing,0
1989,opera,0
1989,disco house,0
1989,rap metal,0
1989,italian dance,0
1989,downtempo,0
1989,roots rock,0
1989,funk rock,0
1990,trance,0
1990,pop,27
1990,rock,25
1990,dance,11
1990,j pop,0
1990,hip hop,4
1990,r&b,0
1990,rap,3
1990,na,0
1990,latin,0
1990,singer-songwriter,0
1990,dubstep,0
1990,soul,3
1990,emo,0
1990,electronic,0
1990,dancehall,0
1990,children music,0
1990,country,0
