date,key,value,group
1988,alternative metal,0,band
1989,alternative metal,0,band
1990,alternative metal,1,band
1991,alternative metal,0,band
1992,alternative metal,0,band
1993,alternative metal,1,band
1994,alternative metal,0,band
1995,alternative metal,0,band
1996,alternative metal,0,band
1997,alternative metal,0.5,band
1998,alternative metal,0,band
1999,alternative metal,0,band
2000,alternative metal,0,band
2001,alternative metal,0,band
2002,alternative metal,0,band
2003,alternative metal,0,band
2004,alternative metal,0,band
2005,alternative metal,0,band
2006,alternative metal,0,band
2007,alternative metal,0,band
2008,alternative metal,0,band
2009,alternative metal,0,band
2010,alternative metal,0,band
2011,alternative metal,0,band
2012,alternative metal,0,band
2013,alternative metal,0,band
2014,alternative metal,0,band
1988,alternative rock,0,band
1989,alternative rock,0,band
1990,alternative rock,1,band
1991,alternative rock,2,band
1992,alternative rock,2,band
1993,alternative rock,3,band
1994,alternative rock,2,band
1995,alternative rock,2,band
1996,alternative rock,1,band
1997,alternative rock,3.5,band
1998,alternative rock,1.5,band
1999,alternative rock,2,band
2000,alternative rock,3,band
2001,alternative rock,2,band
2002,alternative rock,0.5,band
2003,alternative rock,0.5,band
2004,alternative rock,2.5,band
2005,alternative rock,0.5,band
2006,alternative rock,1,band
2007,alternative rock,1,band
2008,alternative rock,1,band
2009,alternative rock,0.5,band
2010,alternative rock,2,band
2011,alternative rock,0.5,band
2012,alternative rock,1,band
2013,alternative rock,2,band
2014,alternative rock,1.5,band
1988,ballad,0,band
1989,ballad,0,band
1990,ballad,0,band
1991,ballad,0,band
1992,ballad,0,band
1993,ballad,0,band
1994,ballad,0,band
1995,ballad,0,band
1996,ballad,0,band
1997,ballad,0,band
1998,ballad,0,band
1999,ballad,1,band
2000,ballad,0,band
2001,ballad,0.5,band
2002,ballad,0.5,band
2003,ballad,0,band
2004,ballad,0,band
2005,ballad,0,band
2006,ballad,1,band
2007,ballad,0.5,band
2008,ballad,0,band
2009,ballad,0,band
2010,ballad,0,band
2011,ballad,0,band
2012,ballad,0,band
2013,ballad,0,band
2014,ballad,0,band
1988,bluegrass,0,band
1989,bluegrass,0,band
1990,bluegrass,0,band
1991,bluegrass,0,band
1992,bluegrass,0,band
1993,bluegrass,0,band
1994,bluegrass,0,band
1995,bluegrass,0,band
1996,bluegrass,0,band
1997,bluegrass,0,band
1998,bluegrass,0,band
1999,bluegrass,0,band
2000,bluegrass,0,band
2001,bluegrass,0,band
2002,bluegrass,0,band
2003,bluegrass,0.5,band
2004,bluegrass,0,band
2005,bluegrass,0,band
2006,bluegrass,0.5,band
2007,bluegrass,0.5,band
2008,bluegrass,0,band
2009,bluegrass,0.5,band
2010,bluegrass,0.5,band
2011,bluegrass,0,band
2012,bluegrass,0.5,band
2013,bluegrass,0.5,band
2014,bluegrass,0,band
1988,blues,2,band
1989,blues,2,band
1990,blues,0,band
1991,blues,0,band
1992,blues,0,band
1993,blues,1,band
1994,blues,0,band
1995,blues,0,band
1996,blues,1,band
1997,blues,0,band
1998,blues,0,band
1999,blues,0.5,band
2000,blues,0,band
2001,blues,0,band
2002,blues,0,band
2003,blues,0.5,band
2004,blues,0,band
2005,blues,0,band
2006,blues,0.5,band
2007,blues,0,band
2008,blues,0,band
2009,blues,0,band
2010,blues,0,band
2011,blues,0,band
2012,blues,0.5,band
2013,blues,0,band
2014,blues,0,band
1988,british pop,0,band
1989,british pop,0,band
1990,british pop,0,band
1991,british pop,0,band
1992,british pop,2,band
1993,british pop,0,band
1994,british pop,0,band
1995,british pop,0,band
1996,british pop,1,band
1997,british pop,1,band
1998,british pop,0,band
1999,british pop,0,band
2000,british pop,0.5,band
2001,british pop,1,band
2002,british pop,1,band
2003,british pop,0.5,band
2004,british pop,0,band
2005,british pop,0.5,band
2006,british pop,0,band
2007,british pop,0,band
2008,british pop,0,band
2009,british pop,0,band
2010,british pop,0,band
2011,british pop,0,band
2012,british pop,0,band
2013,british pop,0,band
2014,british pop,0,band
1988,celtic,1,band
1989,celtic,1,band
1990,celtic,0,band
1991,celtic,0,band
1992,celtic,0,band
1993,celtic,0,band
1994,celtic,0,band
1995,celtic,0,band
1996,celtic,1,band
1997,celtic,0,band
1998,celtic,0,band
1999,celtic,0,band
2000,celtic,0.5,band
2001,celtic,0,band
2002,celtic,0,band
2003,celtic,0,band
2004,celtic,0,band
2005,celtic,0,band
2006,celtic,0,band
2007,celtic,0,band
2008,celtic,0,band
2009,celtic,0,band
